location,2020,2015,2010,2005,2000,1995,1990,1985,1980,1976
Alabama,21,7,11,10,10,13,11,3,1,2
Alaska,1,1,3,5,4,8,0,0,0,1
Arizona,47,36,41,35,29,25,18,11,2,2
Arkansas,4,0,2,4,4,3,7,1,2,0
California,676,639,534,427,380,408,184,110,49,31
Colorado,70,71,67,57,57,43,45,25,6,1
Connecticut,563,654,676,644,765,881,728,677,952,868
Delaware,28,25,12,17,22,18,23,20,20,15
District of Columbia,29,20,22,33,29,20,28,21,20,40
Florida,353,324,290,260,303,250,232,171,65,62
Georgia,71,72,55,43,53,46,35,27,5,8
Hawaii,24,17,26,20,34,41,36,15,3,0
Idaho,5,7,2,2,4,4,3,1,1,0
Illinois,287,286,275,213,248,184,150,177,133,109
Indiana,26,29,19,22,29,21,25,17,9,13
Iowa,6,4,12,9,17,11,8,7,1,5
Kansas,24,12,21,23,28,12,14,14,4,2
Kentucky,10,7,9,6,15,5,11,6,6,2
Louisiana,14,14,21,14,22,15,38,14,4,11
Maine,96,96,103,96,108,87,128,126,104,61
Maryland,197,216,217,229,255,149,184,138,109,86
Massachusetts,"2,370","2,182","2,451","2,560","2,401","2,612","3,135",3721,"4,269",4374
Michigan,46,55,57,64,71,67,82,62,55,46
Minnesota,113,144,151,116,110,71,77,46,27,15
Mississippi,1,3,3,1,2,3,4,0,0,1
Missouri,68,48,57,66,54,50,49,45,17,14
Montana,3,4,2,7,4,1,6,5,1,0
Nebraska,13,20,25,16,22,22,30,15,5,1
Nevada,10,8,6,10,3,11,7,3,0,1
New Hampshire,125,115,139,165,184,165,172,135,130,113
New Jersey,898,971,898,979,941,858,672,643,734,732
New Mexico,3,4,6,8,12,5,2,3,4,0
New York,"1,280","1,271","1,377","1,450","1,372","1,321","1,039",1002,"1,118",1112
North Carolina,65,56,36,44,26,20,22,15,1,4
North Dakota,0,1,3,2,1,1,2,0,0,0
Ohio,110,105,140,138,125,127,132,132,74,74
Oklahoma,3,8,8,7,13,13,15,4,1,4
Oregon,25,38,29,26,20,20,8,5,3,0
Pennsylvania,348,357,317,304,309,325,308,286,219,248
Rhode Island,150,187,159,189,184,214,260,272,282,256
South Carolina,14,14,9,12,5,6,11,5,3,2
South Dakota,1,1,0,0,1,1,1,1,0,1
Tennessee,35,27,24,17,15,9,16,13,1,4
Texas,166,148,127,134,131,110,122,48,11,11
Utah,9,12,9,13,4,10,4,2,1,0
Vermont,39,37,45,44,52,49,47,43,27,11
Virginia,127,80,109,91,76,83,68,60,41,23
Washington,88,74,70,67,63,42,20,20,8,5
West Virginia,1,1,2,2,2,5,9,3,3,2
Wisconsin,55,59,72,60,50,56,53,42,25,21
Wyoming,0,3,1,5,1,1,2,1,1,1
Guam,0,0,1,2,4,7,0,0,0,0
Puerto Rico,53,42,33,48,47,48,70,76,0,41
Virgin Islands,2,0,3,8,1,5,6,2,0,3
International,671,578,309,163,208,314,227,156,172,64
Other,1,2,3,32,0,0,0,0,0,
State total,"9,445","9,192","9,099","9,019","8,930","8,896","8,586",8447,"8,729",8503
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
