State,Population,Percent
Alabama,3893888,0.02
Alaska,401851,0.00
Arizona,2718215,0.01
Arkansas,2286435,0.01
California,23667902,0.10
Colorado,2889964,0.01
Connecticut,3107576,0.01
Delaware,594338,0.00
District of Columbia,638333,0.00
Florida,9746324,0.04
Georgia,5463105,0.02
Hawaii,964691,0.00
Idaho,943935,0.00
Illinois,11426518,0.05
Indiana,5490224,0.02
Iowa,2913808,0.01
Kansas,2363679,0.01
Kentucky,3660777,0.02
Louisiana,4205900,0.02
Maine,1124660,0.00
Maryland,4216975,0.02
Massachusetts,5737037,0.03
Michigan,9262078,0.04
Minnesota,4075970,0.02
Mississippi,2520638,0.01
Missouri,4916686,0.02
Montana,786690,0.00
Nebraska,1569825,0.01
Nevada,800493,0.00
New Hampshire,920610,0.00
New Jersey,7364823,0.03
New Mexico,1302894,0.01
New York,17558072,0.08
North Carolina,5881766,0.03
North Dakota,652717,0.00
Ohio,10797630,0.05
Oklahoma,3025290,0.01
Oregon,2633105,0.01
Pennsylvania,11863895,0.05
Rhode Island,947154,0.00
South Carolina,3121820,0.01
South Dakota,690768,0.00
Tennessee,4591120,0.02
Texas,14229191,0.06
Utah,1461037,0.01
Vermont,511456,0.00
Virginia,5346818,0.02
Washington,4132156,0.02
West Virginia,1949644,0.01
Wisconsin,4705767,0.02
Wyoming,469557,0.00
total,226545805,1.00
