Location,Year,Value,Percent
Alabama,2020,21,
Alabama,2015,7,
Alabama,2010,11,
Alabama,2005,10,
Alabama,2000,10,
Alabama,1995,13,
Alabama,1990,11,
Alabama,1985,3,
Alabama,1980,1,
Alabama,1976,2,
Alaska,2020,1,
Alaska,2015,1,
Alaska,2010,3,
Alaska,2005,5,
Alaska,2000,4,
Alaska,1995,8,
Alaska,1990,0,
Alaska,1985,0,
Alaska,1980,0,
Alaska,1976,1,
Arizona,2020,47,
Arizona,2015,36,
Arizona,2010,41,
Arizona,2005,35,
Arizona,2000,29,
Arizona,1995,25,
Arizona,1990,18,
Arizona,1985,11,
Arizona,1980,2,
Arizona,1976,2,
Arkansas,2020,4,
Arkansas,2015,0,
Arkansas,2010,2,
Arkansas,2005,4,
Arkansas,2000,4,
Arkansas,1995,3,
Arkansas,1990,7,
Arkansas,1985,1,
Arkansas,1980,2,
Arkansas,1976,0,
California,2020,676,
California,2015,639,
California,2010,534,
California,2005,427,
California,2000,380,
California,1995,408,
California,1990,184,
California,1985,110,
California,1980,49,
California,1976,31,
Colorado,2020,70,
Colorado,2015,71,
Colorado,2010,67,
Colorado,2005,57,
Colorado,2000,57,
Colorado,1995,43,
Colorado,1990,45,
Colorado,1985,25,
Colorado,1980,6,
Colorado,1976,1,
Connecticut,2020,563,
Connecticut,2015,654,
Connecticut,2010,676,
Connecticut,2005,644,
Connecticut,2000,765,
Connecticut,1995,881,
Connecticut,1990,728,
Connecticut,1985,677,
Connecticut,1980,952,
Connecticut,1976,868,
Delaware,2020,28,
Delaware,2015,25,
Delaware,2010,12,
Delaware,2005,17,
Delaware,2000,22,
Delaware,1995,18,
Delaware,1990,23,
Delaware,1985,20,
Delaware,1980,20,
Delaware,1976,15,
District of Columbia,2020,29,
District of Columbia,2015,20,
District of Columbia,2010,22,
District of Columbia,2005,33,
District of Columbia,2000,29,
District of Columbia,1995,20,
District of Columbia,1990,28,
District of Columbia,1985,21,
District of Columbia,1980,20,
District of Columbia,1976,40,
Florida,2020,353,
Florida,2015,324,
Florida,2010,290,
Florida,2005,260,
Florida,2000,303,
Florida,1995,250,
Florida,1990,232,
Florida,1985,171,
Florida,1980,65,
Florida,1976,62,
Georgia,2020,71,
Georgia,2015,72,
Georgia,2010,55,
Georgia,2005,43,
Georgia,2000,53,
Georgia,1995,46,
Georgia,1990,35,
Georgia,1985,27,
Georgia,1980,5,
Georgia,1976,8,
Hawaii,2020,24,
Hawaii,2015,17,
Hawaii,2010,26,
Hawaii,2005,20,
Hawaii,2000,34,
Hawaii,1995,41,
Hawaii,1990,36,
Hawaii,1985,15,
Hawaii,1980,3,
Hawaii,1976,0,
Idaho,2020,5,
Idaho,2015,7,
Idaho,2010,2,
Idaho,2005,2,
Idaho,2000,4,
Idaho,1995,4,
Idaho,1990,3,
Idaho,1985,1,
Idaho,1980,1,
Idaho,1976,0,
Illinois,2020,287,
Illinois,2015,286,
Illinois,2010,275,
Illinois,2005,213,
Illinois,2000,248,
Illinois,1995,184,
Illinois,1990,150,
Illinois,1985,177,
Illinois,1980,133,
Illinois,1976,109,
Indiana,2020,26,
Indiana,2015,29,
Indiana,2010,19,
Indiana,2005,22,
Indiana,2000,29,
Indiana,1995,21,
Indiana,1990,25,
Indiana,1985,17,
Indiana,1980,9,
Indiana,1976,13,
Iowa,2020,6,
Iowa,2015,4,
Iowa,2010,12,
Iowa,2005,9,
Iowa,2000,17,
Iowa,1995,11,
Iowa,1990,8,
Iowa,1985,7,
Iowa,1980,1,
Iowa,1976,5,
Kansas,2020,24,
Kansas,2015,12,
Kansas,2010,21,
Kansas,2005,23,
Kansas,2000,28,
Kansas,1995,12,
Kansas,1990,14,
Kansas,1985,14,
Kansas,1980,4,
Kansas,1976,2,
Kentucky,2020,10,
Kentucky,2015,7,
Kentucky,2010,9,
Kentucky,2005,6,
Kentucky,2000,15,
Kentucky,1995,5,
Kentucky,1990,11,
Kentucky,1985,6,
Kentucky,1980,6,
Kentucky,1976,2,
Louisiana,2020,14,
Louisiana,2015,14,
Louisiana,2010,21,
Louisiana,2005,14,
Louisiana,2000,22,
Louisiana,1995,15,
Louisiana,1990,38,
Louisiana,1985,14,
Louisiana,1980,4,
Louisiana,1976,11,
Maine,2020,96,
Maine,2015,96,
Maine,2010,103,
Maine,2005,96,
Maine,2000,108,
Maine,1995,87,
Maine,1990,128,
Maine,1985,126,
Maine,1980,104,
Maine,1976,61,
Maryland,2020,197,
Maryland,2015,216,
Maryland,2010,217,
Maryland,2005,229,
Maryland,2000,255,
Maryland,1995,149,
Maryland,1990,184,
Maryland,1985,138,
Maryland,1980,109,
Maryland,1976,86,
Massachusetts,2020,2370,
Massachusetts,2015,2182,
Massachusetts,2010,2451,
Massachusetts,2005,2560,
Massachusetts,2000,2401,
Massachusetts,1995,2612,
Massachusetts,1990,3135,
Massachusetts,1985,3721,
Massachusetts,1980,4269,
Massachusetts,1976,4374,
Michigan,2020,46,
Michigan,2015,55,
Michigan,2010,57,
Michigan,2005,64,
Michigan,2000,71,
Michigan,1995,67,
Michigan,1990,82,
Michigan,1985,62,
Michigan,1980,55,
Michigan,1976,46,
Minnesota,2020,113,
Minnesota,2015,144,
Minnesota,2010,151,
Minnesota,2005,116,
Minnesota,2000,110,
Minnesota,1995,71,
Minnesota,1990,77,
Minnesota,1985,46,
Minnesota,1980,27,
Minnesota,1976,15,
Mississippi,2020,1,
Mississippi,2015,3,
Mississippi,2010,3,
Mississippi,2005,1,
Mississippi,2000,2,
Mississippi,1995,3,
Mississippi,1990,4,
Mississippi,1985,0,
Mississippi,1980,0,
Mississippi,1976,1,
Missouri,2020,68,
Missouri,2015,48,
Missouri,2010,57,
Missouri,2005,66,
Missouri,2000,54,
Missouri,1995,50,
Missouri,1990,49,
Missouri,1985,45,
Missouri,1980,17,
Missouri,1976,14,
Montana,2020,3,
Montana,2015,4,
Montana,2010,2,
Montana,2005,7,
Montana,2000,4,
Montana,1995,1,
Montana,1990,6,
Montana,1985,5,
Montana,1980,1,
Montana,1976,0,
Nebraska,2020,13,
Nebraska,2015,20,
Nebraska,2010,25,
Nebraska,2005,16,
Nebraska,2000,22,
Nebraska,1995,22,
Nebraska,1990,30,
Nebraska,1985,15,
Nebraska,1980,5,
Nebraska,1976,1,
Nevada,2020,10,
Nevada,2015,8,
Nevada,2010,6,
Nevada,2005,10,
Nevada,2000,3,
Nevada,1995,11,
Nevada,1990,7,
Nevada,1985,3,
Nevada,1980,0,
Nevada,1976,1,
New Hampshire,2020,125,
New Hampshire,2015,115,
New Hampshire,2010,139,
New Hampshire,2005,165,
New Hampshire,2000,184,
New Hampshire,1995,165,
New Hampshire,1990,172,
New Hampshire,1985,135,
New Hampshire,1980,130,
New Hampshire,1976,113,
New Jersey,2020,898,
New Jersey,2015,971,
New Jersey,2010,898,
New Jersey,2005,979,
New Jersey,2000,941,
New Jersey,1995,858,
New Jersey,1990,672,
New Jersey,1985,643,
New Jersey,1980,734,
New Jersey,1976,732,
New Mexico,2020,3,
New Mexico,2015,4,
New Mexico,2010,6,
New Mexico,2005,8,
New Mexico,2000,12,
New Mexico,1995,5,
New Mexico,1990,2,
New Mexico,1985,3,
New Mexico,1980,4,
New Mexico,1976,0,
New York,2020,1280,
New York,2015,1271,
New York,2010,1377,
New York,2005,1450,
New York,2000,1372,
New York,1995,1321,
New York,1990,1039,
New York,1985,1002,
New York,1980,1118,
New York,1976,1112,
North Carolina,2020,65,
North Carolina,2015,56,
North Carolina,2010,36,
North Carolina,2005,44,
North Carolina,2000,26,
North Carolina,1995,20,
North Carolina,1990,22,
North Carolina,1985,15,
North Carolina,1980,1,
North Carolina,1976,4,
North Dakota,2020,0,
North Dakota,2015,1,
North Dakota,2010,3,
North Dakota,2005,2,
North Dakota,2000,1,
North Dakota,1995,1,
North Dakota,1990,2,
North Dakota,1985,0,
North Dakota,1980,0,
North Dakota,1976,0,
Ohio,2020,110,
Ohio,2015,105,
Ohio,2010,140,
Ohio,2005,138,
Ohio,2000,125,
Ohio,1995,127,
Ohio,1990,132,
Ohio,1985,132,
Ohio,1980,74,
Ohio,1976,74,
Oklahoma,2020,3,
Oklahoma,2015,8,
Oklahoma,2010,8,
Oklahoma,2005,7,
Oklahoma,2000,13,
Oklahoma,1995,13,
Oklahoma,1990,15,
Oklahoma,1985,4,
Oklahoma,1980,1,
Oklahoma,1976,4,
Oregon,2020,25,
Oregon,2015,38,
Oregon,2010,29,
Oregon,2005,26,
Oregon,2000,20,
Oregon,1995,20,
Oregon,1990,8,
Oregon,1985,5,
Oregon,1980,3,
Oregon,1976,0,
Pennsylvania,2020,348,
Pennsylvania,2015,357,
Pennsylvania,2010,317,
Pennsylvania,2005,304,
Pennsylvania,2000,309,
Pennsylvania,1995,325,
Pennsylvania,1990,308,
Pennsylvania,1985,286,
Pennsylvania,1980,219,
Pennsylvania,1976,248,
Rhode Island,2020,150,
Rhode Island,2015,187,
Rhode Island,2010,159,
Rhode Island,2005,189,
Rhode Island,2000,184,
Rhode Island,1995,214,
Rhode Island,1990,260,
Rhode Island,1985,272,
Rhode Island,1980,282,
Rhode Island,1976,256,
South Carolina,2020,14,
South Carolina,2015,14,
South Carolina,2010,9,
South Carolina,2005,12,
South Carolina,2000,5,
South Carolina,1995,6,
South Carolina,1990,11,
South Carolina,1985,5,
South Carolina,1980,3,
South Carolina,1976,2,
South Dakota,2020,1,
South Dakota,2015,1,
South Dakota,2010,0,
South Dakota,2005,0,
South Dakota,2000,1,
South Dakota,1995,1,
South Dakota,1990,1,
South Dakota,1985,1,
South Dakota,1980,0,
South Dakota,1976,1,
Tennessee,2020,35,
Tennessee,2015,27,
Tennessee,2010,24,
Tennessee,2005,17,
Tennessee,2000,15,
Tennessee,1995,9,
Tennessee,1990,16,
Tennessee,1985,13,
Tennessee,1980,1,
Tennessee,1976,4,
Texas,2020,166,
Texas,2015,148,
Texas,2010,127,
Texas,2005,134,
Texas,2000,131,
Texas,1995,110,
Texas,1990,122,
Texas,1985,48,
Texas,1980,11,
Texas,1976,11,
Utah,2020,9,
Utah,2015,12,
Utah,2010,9,
Utah,2005,13,
Utah,2000,4,
Utah,1995,10,
Utah,1990,4,
Utah,1985,2,
Utah,1980,1,
Utah,1976,0,
Vermont,2020,39,
Vermont,2015,37,
Vermont,2010,45,
Vermont,2005,44,
Vermont,2000,52,
Vermont,1995,49,
Vermont,1990,47,
Vermont,1985,43,
Vermont,1980,27,
Vermont,1976,11,
Virginia,2020,127,
Virginia,2015,80,
Virginia,2010,109,
Virginia,2005,91,
Virginia,2000,76,
Virginia,1995,83,
Virginia,1990,68,
Virginia,1985,60,
Virginia,1980,41,
Virginia,1976,23,
Washington,2020,88,
Washington,2015,74,
Washington,2010,70,
Washington,2005,67,
Washington,2000,63,
Washington,1995,42,
Washington,1990,20,
Washington,1985,20,
Washington,1980,8,
Washington,1976,5,
West Virginia,2020,1,
West Virginia,2015,1,
West Virginia,2010,2,
West Virginia,2005,2,
West Virginia,2000,2,
West Virginia,1995,5,
West Virginia,1990,9,
West Virginia,1985,3,
West Virginia,1980,3,
West Virginia,1976,2,
Wisconsin,2020,55,
Wisconsin,2015,59,
Wisconsin,2010,72,
Wisconsin,2005,60,
Wisconsin,2000,50,
Wisconsin,1995,56,
Wisconsin,1990,53,
Wisconsin,1985,42,
